Customer Age,Customer Gender,Product Purchased,Ticket Type,Ticket Status,Resolution,Ticket Priority,Ticket Channel,Customer Satisfaction Rating,Response Delay (hrs),Resolution Time (hrs),Age Group
32,2,16,4,2,1530,0,3,0.0,19236.26,0.16666666666666666,1
42,0,21,4,2,1530,0,0,0.0,17776.760555555556,0.16666666666666666,2
48,2,10,4,0,343,2,3,3.0,25259.24388888889,6.85,2
27,0,25,0,0,2550,2,3,3.0,22327.494444444445,-5.533333333333333,0
67,0,5,0,0,2658,2,1,1.0,29112.211666666666,19.683333333333334,4
53,1,25,1,1,1530,2,3,0.0,21273.225972222222,0.16666666666666666,3
24,2,26,2,1,1530,0,3,0.0,21273.225972222222,0.16666666666666666,0
23,1,32,3,1,1530,0,3,0.0,21273.225972222222,0.16666666666666666,0
60,2,13,4,2,1530,2,3,0.0,25210.546388888888,0.16666666666666666,3
27,1,11,3,2,1530,0,2,0.0,28377.43,0.16666666666666666,0
48,1,30,1,0,1368,1,2,1.0,20729.780277777776,-17.916666666666668,2
51,1,27,2,0,1366,1,0,1.0,14052.0975,-2.6333333333333333,3
27,2,31,4,2,1530,2,0,0.0,17683.06472222222,0.16666666666666666,0
65,2,28,4,2,1530,2,0,0.0,25292.581666666665,0.16666666666666666,4
48,0,38,0,0,1569,1,0,4.0,28518.381944444445,-7.233333333333333,2
18,2,15,0,2,1530,1,3,0.0,16983.165833333333,0.16666666666666666,5
63,2,40,2,0,2045,0,0,4.0,14323.783055555556,-3.8,4
56,0,27,2,2,1530,1,0,0.0,23949.08361111111,0.16666666666666666,3
19,1,22,2,1,1530,1,3,0.0,21273.225972222222,0.16666666666666666,5
39,0,9,3,0,2700,2,0,5.0,19560.76777777778,19.716666666666665,1
28,2,19,3,2,1530,1,0,0.0,17549.13472222222,0.16666666666666666,0
66,1,13,1,2,1530,0,3,0.0,29111.951944444445,0.16666666666666666,4
54,0,40,1,1,1530,3,3,0.0,21273.225972222222,0.16666666666666666,3
